accident_year,victim_role
2012,Driver
2012,Driver
2012,Pedestrian
2012,Passenger
2012,Pedestrian
2012,Pedestrian
2012,Driver
2012,Pedestrian
2012,Pedestrian
2012,Driver
2012,Driver
2012,Pedestrian
2012,Pedestrian
2012,Driver
2012,Passenger
2012,Pedestrian
2012,Driver
2012,Pedestrian
2012,Passenger
2012,Driver
2012,Bicyclist
2012,Passenger
2012,Passenger
2012,Bicyclist
2012,Driver
2012,Pedestrian
2012,Passenger
2012,Pedestrian
2012,Pedestrian
2012,Pedestrian
2012,Pedestrian
2012,Passenger
2012,Pedestrian
2012,Passenger
2012,Pedestrian
2012,Driver
2012,Pedestrian
2012,Pedestrian
2012,Driver
2012,Passenger
2012,Pedestrian
2012,Passenger
2013,Pedestrian
2013,Pedestrian
2013,Driver
2013,Passenger
2013,Pedestrian
2013,Passenger
2013,Pedestrian
2013,Bicyclist
2013,Pedestrian
2013,Pedestrian
2013,Pedestrian
2013,Passenger
2013,Bicyclist
2013,Driver
2013,Driver
2013,Pedestrian
2013,Driver
2013,Driver
2013,Driver
2013,Pedestrian
2013,Pedestrian
2013,Driver
2013,Pedestrian
2013,Bicyclist
2013,Pedestrian
2013,Driver
2013,Driver
2013,Pedestrian
2013,Passenger
2013,Pedestrian
2013,Pedestrian
2013,Pedestrian
2013,Pedestrian
2013,Driver
2013,Driver
2013,Pedestrian
2013,Pedestrian
2013,Passenger
2013,Pedestrian
2013,Pedestrian
2013,Pedestrian
2013,Driver
2013,Pedestrian
2013,Pedestrian
2013,Driver
2013,Pedestrian
2013,Bicyclist
2013,Pedestrian
2014,Pedestrian
2014,Pedestrian
2014,Driver
2014,Pedestrian
2014,Passenger
2014,Passenger
2014,Pedestrian
2014,Pedestrian
2014,Driver
2014,Pedestrian
2014,Pedestrian
2014,Driver
2014,Pedestrian
2014,Passenger
2014,Pedestrian
2014,Pedestrian
2014,Pedestrian
2014,Driver
2014,Pedestrian
2014,Pedestrian
2014,Driver
2014,Driver
2014,Pedestrian
2014,Pedestrian
2014,Pedestrian
2014,Passenger
2014,Pedestrian
2014,Driver
2014,Pedestrian
2014,Pedestrian
2014,Bicyclist
2014,Driver
2014,Pedestrian
2014,Passenger
2014,Bicyclist
2014,Pedestrian
2014,Bicyclist
2014,Driver
2014,Pedestrian
2014,Pedestrian
2014,Driver
2014,Driver
2015,Driver
2015,Pedestrian
2015,Pedestrian
2015,Bicyclist
2015,Pedestrian
2015,Driver
2015,Pedestrian
2015,Driver
2015,Pedestrian
2015,Pedestrian
2015,Pedestrian
2015,Pedestrian
2015,Pedestrian
2015,Driver
2015,Driver
2015,Pedestrian
2015,Pedestrian
2015,Pedestrian
2015,Pedestrian
2015,Driver
2015,Driver
2015,Pedestrian
2015,Pedestrian
2015,Driver
2015,Bicyclist
2015,Pedestrian
2015,Pedestrian
2015,Pedestrian
2015,Pedestrian
2015,Driver
2015,Pedestrian
2015,Pedestrian
2015,Bicyclist
2015,Driver
2015,Driver
2015,Bicyclist
2015,Pedestrian
2016,Pedestrian
2016,Pedestrian
2016,Driver
2016,Driver
2016,Driver
2016,Pedestrian
2016,Driver
2016,Pedestrian
2016,Passenger
2016,Pedestrian
2016,Driver
2016,Driver
2016,Pedestrian
2016,Driver
2016,Pedestrian
2016,Driver
2016,Bicyclist
2016,Bicyclist
2016,Driver
2016,Driver
2016,Pedestrian
2016,Passenger
2016,Driver
2016,Pedestrian
2016,Driver
2016,Pedestrian
2016,Pedestrian
2016,Pedestrian
2016,Driver
2016,Passenger
2016,Pedestrian
2016,Pedestrian
2016,Pedestrian
2016,Pedestrian
2016,Driver
2016,Passenger
2016,Bicyclist
2016,Driver
2016,Driver
2016,Driver
2016,Passenger
2016,Pedestrian
2016,Driver
2016,Passenger
2016,Pedestrian
2016,Driver
2016,Pedestrian
2017,Pedestrian
2017,Driver
2017,Pedestrian
2017,Driver
2017,Pedestrian
2017,Driver
2017,Pedestrian
2017,Bicyclist
2017,Pedestrian
2017,Driver
2017,Driver
2017,Pedestrian
2017,Pedestrian
2017,Pedestrian
2017,Driver
2017,Driver
2017,Pedestrian
2017,Pedestrian
2017,Pedestrian
2017,Bicyclist
2017,Pedestrian
2017,Pedestrian
2018,Driver
2018,Driver
2018,Driver
2018,Bicyclist
2018,Bicyclist
2018,Pedestrian
2018,Passenger
2018,Pedestrian
2018,Pedestrian
2018,Pedestrian
2018,Driver
2018,Driver
2018,Pedestrian
2018,Pedestrian
2018,Bicyclist
2018,Pedestrian
2018,Pedestrian
2018,Passenger
2018,Pedestrian
2018,Pedestrian
2018,Passenger
2018,Bicyclist
2018,Pedestrian
2018,Pedestrian
2018,Pedestrian
2018,Pedestrian
2018,Pedestrian
2018,Driver
2019,Pedestrian
2019,Pedestrian
2019,Pedestrian
2019,Driver
2019,Bicyclist
2019,Passenger
2019,Pedestrian
2019,Pedestrian
2019,Pedestrian
2019,Driver
2019,Driver
2019,Driver
2019,Driver
2019,Pedestrian
2019,Pedestrian
2019,Pedestrian
2019,Passenger
2019,Pedestrian
2019,Passenger
2019,Driver
2019,Passenger
2019,Driver
2019,Driver
2019,Passenger
2019,Pedestrian
2019,Driver
2019,Driver
2019,Driver
2019,Driver
2019,Pedestrian
2019,Pedestrian
2019,Pedestrian
2019,Passenger
2019,Pedestrian
2019,Pedestrian
2019,Pedestrian
2019,Driver
2019,Pedestrian
2019,Passenger
2019,Pedestrian
2019,Driver
2019,Pedestrian
2019,Driver
2019,Driver
2019,Passenger
2019,Pedestrian
2020,Pedestrian
2020,Passenger
2020,Driver
2020,Driver
2020,Pedestrian
2020,Pedestrian
2020,Bicyclist
2020,Driver
2020,Passenger
2020,Passenger
2020,Driver
2020,Pedestrian
2020,Pedestrian
2020,Passenger
2020,Driver
2020,Driver
2020,Pedestrian
2020,Passenger
2020,Driver
2020,Pedestrian
2020,Pedestrian
2020,Passenger
2020,Pedestrian
2020,Driver
2020,Pedestrian
2020,Pedestrian
2020,Passenger
2020,Pedestrian
2020,Driver
2020,Driver
2020,Bicyclist
2020,Passenger
2020,Pedestrian
2020,Other
2020,Other
2020,Driver
2020,Driver
2020,Driver
2020,Pedestrian
2020,Passenger
2020,Other
2020,Driver
2021,Pedestrian
2021,Driver
2021,Pedestrian
2021,Driver
2021,Passenger
2021,Bicyclist
2021,Pedestrian
2021,Pedestrian
2021,Passenger
2021,Passenger
2021,Pedestrian
2021,Driver
2021,Driver
2021,Driver
2021,Driver
2021,Pedestrian
2021,Pedestrian
2021,Driver
2021,Pedestrian
2021,Pedestrian
2021,Driver
2021,Passenger
2021,Driver
2021,Bicyclist
2021,Driver
2021,Pedestrian
2021,Driver
2021,Driver
2021,Driver
2021,Driver
2021,Pedestrian
2021,Pedestrian
2021,Driver
2021,Driver
2021,Pedestrian
2021,Pedestrian
2021,Driver
2021,Driver
2021,Driver
2021,Passenger
2022,Pedestrian
2022,Pedestrian
2022,Driver
2022,Pedestrian
2022,Pedestrian
2022,Driver
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Passenger
2022,Passenger
2022,Driver
2022,Driver
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Pedestrian
2022,Driver
2022,Bicyclist
2022,Passenger
2022,Driver
2022,Driver
2022,Pedestrian
2022,Driver
2022,Driver
2022,Pedestrian
2022,Passenger
2022,Driver
2022,Driver
2022,Pedestrian
2022,Driver
2022,Pedestrian
2022,Driver
2022,Driver
2022,Driver
2022,Pedestrian
2022,Driver
2022,Driver
2022,Pedestrian
2022,Other
2022,Passenger
2022,Pedestrian
2022,Driver
2022,Driver
2022,Other
2023,Pedestrian
2023,Driver
2023,Other
2023,Other
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2023,Driver
2023,Driver
2023,Other
2023,Driver
2023,Pedestrian
2023,Passenger
2023,Pedestrian
2023,Pedestrian
2023,Driver
2023,Passenger
2023,Driver
2023,Driver
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2023,Driver
2023,Pedestrian
2023,Driver
2023,Other
2023,Other
2023,Driver
2023,Bicyclist
2023,Pedestrian
2023,Pedestrian
2023,Driver
2023,Driver
2023,Driver
2023,Pedestrian
2023,Passenger
2023,Passenger
2023,Pedestrian
2023,Pedestrian
2023,Pedestrian
2024,Motorcyclist
2024,Pedestrian
2024,Pedestrian
2024,Pedestrian
2024,Passenger
2024,Bicyclist
2024,Pedestrian
2024,Driver
2024,Pedestrian
2024,Driver
2024,Pedestrian
2024,Pedestrian
2024,Pedestrian
2024,Pedestrian
2024,Pedestrian
2024,Motorcyclist
2024,Pedestrian
2024,Passenger
2024,Driver
2024,Pedestrian
2024,Pedestrian
2024,Bicyclist
2024,Pedestrian