season,episode,title,imdb_rating
1,1,Pilot,7.9
1,2,Lawnmower Dog,8.6
1,3,Anatomy Park,8.3
1,4,M. Night Shaym-Aliens!,8.6
1,5,Meeseeks and Destroy,9
1,6,Rick Potion #9,9
1,7,Raising Gazorpazorp,7.9
1,8,Rixty Minutes,8.7
1,9,Something Ricked This Way Comes,8.4
1,10,Close Rick-counters of the Rick Kind,9.3
1,11,Ricksy Business,8.4
2,1,A Rickle in Time,8.8
2,2,Mortynight Run,8.8
2,3,Auto Erotic Assimilation,8.5
2,4,Total Rickall,9.5
2,5,Get Schwifty,8.2
2,6,The Ricks Must Be Crazy,9.3
2,7,Big Trouble in Little Sanchez,8.4
2,8,Interdimensional Cable 2: Tempting Fate,7.6
2,9,Look Who's Purging Now,8.5
2,10,The Wedding Squanchers,9.3
3,1,The Rickshank Rickdemption,9.6
3,2,Rickmancing the Stone,8.1
3,3,Pickle Rick,9.3
3,4,Vindicators 3: The Return of Worldender,8.1
3,5,The Whirly Dirly Conspiracy,8.4
3,6,Rest and Ricklaxation,8.8
3,7,The Ricklantis Mixup,9.8
3,8,Morty's Mind Blowers,8.9
3,9,The ABC's of Beth,7.9
3,10,The Rickchurian Mortydate,8.2
4,1,Edge of Tomorty: Rick Die Rickpeat,8.9
4,2,The Old Man and the Seat,8.2
4,3,One Crew over the Crewcoo's Morty,8.2
4,4,Claw and Hoarder: Special Ricktim's Morty,7.3
4,5,Rattlestar Ricklactica,8.8
4,6,Never Ricking Morty,8
4,7,Promortyus,8
4,8,The Vat of Acid Episode,9.5
4,9,Childrick of Mort,7.7
4,10,Star Mort Rickturn of the Jerri,9
5,1,Mort Dinner Rick Andre,9
5,2,Mortyplicity,8.7
5,3,A Rickconvenient Mort,7.8
5,4,Rickdependence Spray,5.7
5,5,Amortycan Grickfitti,7
5,6,Rick & Morty's Thanksploitation Spectacular,7.1
5,7,Gotron Jerrysis Rickvangelion,6.3
5,8,Rickternal Friendshine of the Spotless Mort,8.2
5,9,Forgetting Sarick Mortshall,8.2
5,10,Rickmurai Jack,9.3
6,1,Solaricks,8.5
6,2,Rick: A Mort Well Lived,7.8
6,3,Bethic Twinstinct,7.7
6,4,Night Family,8.5
6,5,Final DeSmithation,8.2
6,6,JuRicksic Mort,7.8
6,7,Full Meta Jackrick,7.8
6,8,Analyze Piss,8.3
6,9,A Rick in King Mortur's Mort,7.4
6,10,Ricktional Mortpoon's Rickmas Mortcation,8
7,1,How Poopy Got His Poop Back,6.1
7,2,The Jerrick Trap,7.3
7,3,Air Force Wong,6.8
7,4,That's Amorte,8.3
7,5,Unmortricken,9.2
7,6,Rickfending Your Mort,7.8
7,7,Wet Kuat Amortican Summer,6.4
7,8,Rise of the Numbericons: The Movie,4.5
7,9,Mort: Ragnarick,8
7,10,Fear No Mort,9.4